odds_id,game_id,vendor,spread_home_value,spread_home_odds,spread_away_value,spread_away_odds,moneyline_home_odds,moneyline_away_odds,total_value,total_over_odds,total_under_odds,updated_at
29918800,18447142,fanduel,-4.5,-144,4.5,108,-245.0,186.0,214.5,-114.0,-114.0,2025-12-05T00:18:20.367Z
29937780,18447142,rebet,-11.5,-118,11.5,-105,-2500.0,1500.0,199.5,-105.0,-125.0,2025-12-05T02:32:45.648Z
29949908,18447142,draftkings,1.5,-110,-1.5,-120,124.0,-160.0,197.5,-130.0,100.0,2025-12-05T02:11:00.348Z
29963757,18447142,betrivers,2,-120,-2,-122,128.0,-186.0,195,-118.0,-124.0,2025-12-05T02:35:05.252Z
29963790,18447142,ballybet,-4.5,-115,4.5,-122,128.0,-182.0,195,-115.0,-122.0,2025-12-05T02:35:15.323Z
29964127,18447142,betparx,2,-110,-2,-121,135.0,-180.0,195,-109.0,-122.0,2025-12-05T02:34:35.292Z
29969244,18447142,caesars,1.5,-130,-1.5,100,-650.0,420.0,199.5,115.0,-145.0,2025-12-05T02:32:32.678Z
30008079,18447142,betmgm,2.5,-140,-2.5,105,200.0,-275.0,196.5,-118.0,-110.0,2025-12-05T02:23:17.377Z
30028707,18447142,betway,1.5,-115,-1.5,-110,160.0,-225.0,196.5,-110.0,-115.0,2025-12-05T02:33:26.897Z
30469626,18447142,bet365,1.5,-155,-1.5,125,130.0,-160.0,196.5,-130.0,100.0,2025-12-05T02:30:54.924Z
30541062,18447157,caesars,14.5,120,-14.5,-150,2200.0,-10000.0,216.5,-110.0,-120.0,2025-12-06T03:24:30.562Z
30585614,18447157,betway,11.5,-105,-11.5,-120,1200.0,-10000.0,214.5,-110.0,-115.0,2025-12-06T03:25:26.847Z
30835472,18447157,fanduel,16.5,100,-16.5,-132,-100000.0,-100000.0,217.5,130.0,-174.0,2025-12-06T03:24:20.123Z
30835487,18447157,draftkings,15.5,-125,-15.5,-105,700.0,-1300.0,219.5,100.0,-130.0,2025-12-06T03:23:00.276Z
30835503,18447157,betparx,12,-107,-12,-125,900.0,-2000.0,215.5,-112.0,-120.0,2025-12-06T03:26:35.178Z
30835518,18447157,ballybet,12,-110,-12,-129,750.0,-2000.0,217.5,-125.0,-113.0,2025-12-06T03:27:15.182Z
30835538,18447157,betrivers,12,-132,-12,-113,750.0,-2500.0,216,-120.0,-122.0,2025-12-06T03:27:05.710Z
30835578,18447157,betmgm,10.5,118,-10.5,-155,1150.0,-5000.0,213.5,-110.0,-115.0,2025-12-06T03:26:19.376Z
30996592,18447157,rebet,1.5,-118,-1.5,-105,-104.0,-115.0,221.5,-115.0,-109.0,2025-12-06T03:24:45.576Z
31010215,18447157,bet365,15.5,125,-15.5,-155,1700.0,-10000.0,215.5,-110.0,-120.0,2025-12-06T03:24:56.874Z
31489853,18447171,fanduel,3.5,200,-3.5,-280,8000.0,-100000.0,220.5,-112.0,-118.0,2025-12-08T02:55:20.115Z
31502570,18447171,draftkings,3.5,180,-3.5,-238,3500.0,-50000.0,221.5,-120.0,-110.0,2025-12-08T02:54:00.234Z
31523506,18447171,betparx,2.5,-120,-2.5,-112,350.0,-560.0,223.5,-121.0,-110.0,2025-12-08T02:57:35.191Z
31523604,18447171,betrivers,2.5,-129,-2.5,-114,245.0,-400.0,223.5,-127.0,-115.0,2025-12-08T02:57:05.366Z
31523693,18447171,ballybet,3.5,-127,-3.5,-113,265.0,-420.0,223.5,-125.0,-114.0,2025-12-08T02:57:15.309Z
31535666,18447171,rebet,3.5,-133,-3.5,-105,220.0,-175.0,222.5,-125.0,-105.0,2025-12-08T02:37:45.558Z
31549801,18447171,caesars,4.5,-650,-4.5,420,2200.0,-10000.0,220.5,350.0,-500.0,2025-12-08T02:55:30.271Z
31582268,18447171,betmgm,2.5,-130,-2.5,100,1600.0,-10000.0,223.5,-125.0,-105.0,2025-12-08T02:56:17.657Z
31608669,18447171,betway,3.5,-105,-3.5,-120,175.0,-250.0,223.5,-115.0,-110.0,2025-12-08T02:55:26.010Z
31990574,18447171,bet365,3.5,-115,-3.5,-115,950.0,-2000.0,221.5,-105.0,-125.0,2025-12-08T02:54:55.031Z
