game_id,date,season,status,period,time,postseason,home_team_id,home_team_name,home_team_abbr,home_team_city,home_team_conference,home_team_division,home_score,visitor_team_id,visitor_team_name,visitor_team_abbr,visitor_team_city,visitor_team_conference,visitor_team_division,visitor_score
18447387,2026-01-14,2025,Final,4,Final,False,5,Chicago Bulls,CHI,Chicago,East,Central,128,29,Utah Jazz,UTA,Utah,West,Northwest,126
18447388,2026-01-14,2025,Final,4,Final,False,19,New Orleans Pelicans,NOP,New Orleans,West,Southwest,116,3,Brooklyn Nets,BKN,Brooklyn,East,Atlantic,113
18447389,2026-01-14,2025,Final,4,Final,False,7,Dallas Mavericks,DAL,Dallas,West,Southwest,109,8,Denver Nuggets,DEN,Denver,West,Northwest,118
18447390,2026-01-14,2025,Final,4,Final,False,26,Sacramento Kings,SAC,Sacramento,West,Pacific,112,20,New York Knicks,NYK,New York,East,Atlantic,101
18447391,2026-01-14,2025,Final,4,Final,False,13,LA Clippers,LAC,LA,West,Pacific,119,30,Washington Wizards,WAS,Washington,East,Southeast,105
18447392,2026-01-15,2025,Final,4,Final,False,22,Orlando Magic,ORL,Orlando,East,Southeast,118,15,Memphis Grizzlies,MEM,Memphis,West,Southwest,111
18447393,2026-01-15,2025,Final,4,Final,False,9,Detroit Pistons,DET,Detroit,East,Central,108,24,Phoenix Suns,PHX,Phoenix,West,Pacific,105
18447394,2026-01-15,2025,Final,4,Final,False,16,Miami Heat,MIA,Miami,East,Southeast,114,2,Boston Celtics,BOS,Boston,East,Atlantic,119
18447395,2026-01-15,2025,Final,4,Final,False,11,Houston Rockets,HOU,Houston,West,Southwest,91,21,Oklahoma City Thunder,OKC,Oklahoma City,West,Northwest,111
18447396,2026-01-15,2025,Final,4,Final,False,27,San Antonio Spurs,SAS,San Antonio,West,Southwest,119,17,Milwaukee Bucks,MIL,Milwaukee,East,Central,101
18447397,2026-01-15,2025,Final,4,Final,False,7,Dallas Mavericks,DAL,Dallas,West,Southwest,144,29,Utah Jazz,UTA,Utah,West,Northwest,122
18447398,2026-01-15,2025,Final,4,Final,False,10,Golden State Warriors,GSW,Golden State,West,Pacific,126,20,New York Knicks,NYK,New York,East,Atlantic,113
18447399,2026-01-15,2025,Final,4,Final,False,25,Portland Trail Blazers,POR,Portland,West,Northwest,117,1,Atlanta Hawks,ATL,Atlanta,East,Southeast,101
18447400,2026-01-15,2025,Final,4,Final,False,14,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,117,4,Charlotte Hornets,CHA,Charlotte,East,Southeast,135
18447401,2026-01-16,2025,Final,4,Final,False,3,Brooklyn Nets,BKN,Brooklyn,East,Atlantic,112,5,Chicago Bulls,CHI,Chicago,East,Central,109
18447402,2026-01-16,2025,Final,4,Final,False,12,Indiana Pacers,IND,Indiana,East,Central,127,19,New Orleans Pelicans,NOP,New Orleans,West,Southwest,119
18447403,2026-01-16,2025,Final,4,Final,False,23,Philadelphia 76ers,PHI,Philadelphia,East,Atlantic,115,6,Cleveland Cavaliers,CLE,Cleveland,East,Central,117
18447404,2026-01-16,2025,Final,5,Final,False,28,Toronto Raptors,TOR,Toronto,East,Atlantic,117,13,LA Clippers,LAC,LA,West,Pacific,121
18447405,2026-01-16,2025,Final,4,Final,False,11,Houston Rockets,HOU,Houston,West,Southwest,110,18,Minnesota Timberwolves,MIN,Minnesota,West,Northwest,105
18447406,2026-01-16,2025,Final,4,Final,False,26,Sacramento Kings,SAC,Sacramento,West,Pacific,128,30,Washington Wizards,WAS,Washington,East,Southeast,115
